motif,count_all,count_low,count_high,freq_all,freq_low,freq_high,enrichment_low_vs_all,enrichment_low_vs_high,fisher_p_low_gt_high,enrichment_CI_low,enrichment_CI_high,bayes_median_enrichment,bayes_CI_low,bayes_CI_high,bayes_prob_enrichment_gt_1,enrichment_high_vs_low,bayes_prob_high_gt_low,model,metric,tier,enrichment_score,confidence
enoxide,34,32,2,0.00045672527974423386,0.0004342044560232299,0.0026845637583892616,0.9506906564628619,0.16174115986865314,0.9952576929251137,0.03883175100746985,0.6736807410674044,0.12419173864281358,0.043424110060140964,0.5523243225001585,0.00615,6.18271812080537,0.99385,Espaloma,Structure,worst_1_percent,6.18271812080537,0.99385
isoxazole,1472,1447,25,0.01977351799363271,0.01963418274580043,0.03355704697986577,0.9929534416750145,0.5850986458248527,0.9956487326705549,0.39664888069501963,0.8630817884730134,0.5712725993525238,0.39711474920017054,0.86565074858292,0.00465,1.7091135095522791,0.99535,Espaloma,Structure,worst_1_percent,1.7091135095522791,0.99535
sulfonamide,5462,5383,79,0.07337157288126486,0.07304133083665772,0.10604026845637583,0.9954990464066844,0.688807487003924,0.9995522683604748,0.5582928163097088,0.8498331705014455,0.6862353966846836,0.5614557413982091,0.8518339496397231,0.0005,1.4517844519223455,0.9995,Espaloma,Structure,worst_1_percent,1.4517844519223455,0.9995
enol,222,214,8,0.0029821474148005855,0.0029037422996553504,0.010738255033557046,0.9737085045641588,0.27041100165540455,0.9995542716326237,0.13400058974540588,0.5456849850825835,0.25136160158326526,0.1371845425806709,0.5263045721841361,0.0004,3.6980743900144257,0.9996,Espaloma,Structure,worst_1_percent,3.6980743900144257,0.9996
guanidine,436,423,13,0.005856830057896646,0.00573964015305707,0.0174496644295302,0.979990898885384,0.3289255318482706,0.999842348630335,0.19031380483917681,0.5684926828776006,0.3136959374689423,0.19125118566019605,0.5671722534951927,0.0002,3.040201818268361,0.9998,Espaloma,Structure,worst_1_percent,3.040201818268361,0.9998
tertiary_amine,21584,21295,289,0.2899399540588101,0.2889494965942088,0.38791946308724834,0.9965839221165069,0.7448698095594656,0.9999999967909723,0.6801410309679243,0.8157588028523464,0.7441279749685592,0.6814888909732476,0.8158903933596469,0.0,1.3425164869971367,1.0,Espaloma,Structure,worst_1_percent,1.3425164869971367,1.0
ether,13971,13775,196,0.18767379068549092,0.18691144942874977,0.26308724832214764,0.9959379450164211,0.710454233798054,0.9999998493206886,0.6294105469187761,0.8019332068592046,0.7097705670555068,0.6316249817551133,0.8042016201586051,0.0,1.4075502015858903,1.0,Espaloma,Structure,worst_1_percent,1.4075502015858903,1.0
amide,36923,36404,519,0.49599022070577486,0.49396184428342693,0.6966442953020134,0.9959104507756995,0.709058909424187,1.0,0.6758645104384978,0.7438836176020341,0.7097253603441143,0.6776481846313375,0.7463832516182421,0.0,1.410320054806279,1.0,Espaloma,Structure,worst_1_percent,1.410320054806279,1.0
ester,5829,5730,99,0.07830151928320997,0.07774973540665961,0.13288590604026845,0.9929530885019663,0.585086392706681,0.9999998950432424,0.4862141523976843,0.7040644235516229,0.5830890651812366,0.4873889969606019,0.7054805382205163,0.0,1.7091493025053586,1.0,Espaloma,Structure,worst_1_percent,1.7091493025053586,1.0
quaternary_amine,4898,4814,84,0.0657953064760958,0.06532063285299465,0.11275167785234899,0.9927856005462395,0.5793318032795359,0.9999993311159884,0.4727636178640401,0.709922095544247,0.576142070882852,0.47398532598745463,0.7096704876132879,0.0,1.7261265380894093,1.0,Espaloma,Structure,worst_1_percent,1.7261265380894093,1.0
indazole,2144,2096,48,0.028800558816812864,0.02844039186952156,0.06442953020134229,0.9874944458688403,0.4414185821415325,0.9999998809664934,0.33466252762266624,0.5822294059750116,0.43695859828805983,0.33592990781908705,0.5828321673447593,0.0,2.2654234335775403,1.0,Espaloma,Structure,worst_1_percent,2.2654234335775403,1.0
disulfide,57,52,5,0.000765686498394745,0.0007055822410377486,0.006711409395973154,0.9215027854311074,0.10513175391462455,0.9999768466505945,0.04211246271563759,0.26245640763870554,0.09421938400636455,0.043413375529784616,0.25076965742952984,0.0,9.51187403200826,1.0,Espaloma,Structure,worst_1_percent,9.51187403200826,1.0
